StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
AAPL,AAPL150612C00118000,118.0,2015-06-12,Call,9.60,9.65,9.75,71,426,12:38
AAPL,AAPL150612C00119000,119.0,2015-06-12,Call,8.40,8.60,8.70,213,104,12:38
AAPL,AAPL150612C00120000,120.0,2015-06-12,Call,7.70,7.65,7.70,345,2111,12:38
AAPL,AAPL150612C00121000,121.0,2015-06-12,Call,6.65,6.65,6.75,80,389,12:38
AAPL,AAPL150612C00122000,122.0,2015-06-12,Call,5.70,5.60,5.75,120,483,12:38
AAPL,AAPL150612C00123000,123.0,2015-06-12,Call,4.60,4.60,4.75,75,1096,12:38
AAPL,AAPL150612C00124000,124.0,2015-06-12,Call,3.60,3.60,3.75,383,1742,12:38
AAPL,AAPL150612C00125000,125.0,2015-06-12,Call,2.71,2.68,2.71,2825,4824,12:38
AAPL,AAPL150612C00126000,126.0,2015-06-12,Call,1.75,1.73,1.77,3589,5183,12:38
AAPL,AAPL150612C00127000,127.0,2015-06-12,Call,0.79,0.76,0.79,17499,6560,12:38
AAPL,AAPL150612C00128000,128.0,2015-06-12,Call,0.12,0.12,0.13,40556,12689,12:38
AAPL,AAPL150612C00129000,129.0,2015-06-12,Call,0.03,0.02,0.03,27717,27446,12:38
AAPL,AAPL150612C00130000,130.0,2015-06-12,Call,0.01,0.00,0.01,10404,42371,12:38
AAPL,AAPL150612C00131000,131.0,2015-06-12,Call,0.01,0.00,0.01,4566,34014,12:38
AAPL,AAPL150612C00132000,132.0,2015-06-12,Call,0.01,0.00,0.01,3768,21968,12:38
AAPL,AAPL150612C00133000,133.0,2015-06-12,Call,0.01,0.00,0.01,410,50887,12:38
AAPL,AAPL150612C00134000,134.0,2015-06-12,Call,0.01,0.00,0.01,237,12156,12:38
AAPL,AAPL150612C00135000,135.0,2015-06-12,Call,0.01,0.00,0.01,9,14998,12:38
AAPL,AAPL150612C00136000,136.0,2015-06-12,Call,0.01,0.00,0.01,2,8942,12:38
AAPL,AAPL150612C00137000,137.0,2015-06-12,Call,0.01,0.00,0.01,17,11089,12:38
AAPL,AAPL150612C00138000,138.0,2015-06-12,Call,0.01,0.00,0.01,5,6901,12:38
AAPL,AAPL150612C00139000,139.0,2015-06-12,Call,0.01,0.00,0.01,24,1835,12:38
AAPL,AAPL150612C00140000,140.0,2015-06-12,Call,0.01,0.00,0.01,125,5010,12:38
AAPL,AAPL150612C00141000,141.0,2015-06-12,Call,0.01,0.00,0.01,500,1496,12:38
AAPL,AAPL150612C00142000,142.0,2015-06-12,Call,0.01,0.00,0.01,2,463,12:38
AAPL,AAPL150612C00143000,143.0,2015-06-12,Call,0.01,0.00,0.01,179,340,12:38
